,mail,clean_mail,num_characters,num_words,num_sentences,ham_or_spam
714,He also knows about lunch menu only da. . I know,also know lunch menu da know,48,12,3,0
715,When i have stuff to sell i.ll tell you,stuff sell ill tell,39,9,1,0
716,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,449071512431 urgent 2nd attempt contact u u call 09071512433 b4 050703 csbcm4235wc1n3xx callcost 150ppm mobilesvari 50,163,31,5,1
717,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,book lesson msg call work sth m go get spec membership px3748,121,29,5,0
718,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,guarante cash prize claim yr prize call custom servic repres 08714712394 10am7pm,147,25,2,1
719,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,macha dont feel upseti assum mindsetbeliev one even wonder plan uslet life begin againcal anytim,162,28,1,0
720,Oh is it? Send me the address,oh send address,29,8,2,0
721,S'fine. Anytime. All the best with it.,sfine anytim best,38,10,3,0
722,That is wondar full flim.,wondar full flim,25,6,1,0
723,Ya even those cookies have jelly on them,ya even cooki jelli,40,8,1,0
724,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",world run stillmayb feel itor admit madthen correct let call lifeand keep run world may u r also runninglet run,226,51,1,0
725,Got it! It looks scrumptious... daddy wants to eat you all night long!,got look scrumptiou daddi want eat night long,70,16,2,0
726,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,co lar m ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today,140,40,2,0
727,"Alright omw, gotta change my order to a half8th",alright omw got ta chang order half8th,47,11,1,0
728,Exactly. Anyways how far. Is jide her to study or just visiting,exactli anyway far jide studi visit,63,14,3,0
729,Dunno y u ask me.,dunno u ask,17,6,1,0
730,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,email alertfrom jeri stewarts 2kbsubject lowcost prescripiton drvgsto listen email call 123,101,16,1,1
731,No he didn't. Spring is coming early yay!,nt spring come earli yay,41,11,2,0
732,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,lol wo nt feel bad use money take steak dinner d,80,20,1,0
733,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,even u dont get troubl convinc tel twice tel neglect msg dont c read dont repli,137,30,1,0
734,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,leav qatar tonit search opportunityal went fastpl add ur prayer dearrakhesh,103,17,1,0
735,Then why no one talking to me,one talk,29,7,1,0
736,Thanks for looking out for me. I really appreciate.,thank look realli appreci,51,11,2,0
737,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,hi custom loyalti offer new nokia6650 mobil txtauction txt word start 81151 get 4t ctxt tc 150pmtmsg,149,34,4,1
738,Wish i were with you now!,wish,25,7,1,0
739,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,haha mayb u re rite u know well da feel like someon gd lor u faster go find one gal group attach liao,149,36,3,0
740,Yes i will be there. Glad you made it.,ye glad made,38,11,2,0
741,Do well :)all will for little time. Thing of good times ahead:,well littl time thing good time ahead,62,16,2,0
742,Just got up. have to be out of the room very soon. ‰Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,got room soon nt put clock back til 8 shout everyon get realis 7 wahay anoth hour bed,181,46,5,0
743,Ok. There may be a free gym about.,ok may free gym,34,10,2,0
744,Men like shorter ladies. Gaze up into his eyes.,men like shorter ladi gaze eye,47,11,2,0
745,Dunno he jus say go lido. Same time 930.,dunno ju say go lido time 930,40,11,2,0
746,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",promis take good care princess run pleas send pic get chanc ttyl,110,28,4,0
747,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,u subscrib best mobil content servic uk per 10 day send stop 82324 helplin 08706091795,132,26,2,1
748,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,reason ve spoken year anyway great week best exam,101,23,2,0
749,By monday next week. Give me the full gist,monday next week give full gist,42,10,2,0
750,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",realiz 40 year ll thousand old ladi run around tattoo,102,21,1,1
751,You have an important customer service announcement from PREMIER.,import custom servic announc premier,65,10,1,1
752,Dont gimme that lip caveboy,dont gim lip caveboy,27,6,1,0
753,When did you get to the library,get librari,31,7,1,0
754,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,reali sorryi nt recognis number confus r u pleas,82,19,2,0
755,So why didnt you holla?,didnt holla,23,6,1,0
756,Cant think of anyone with * spare room off * top of my head,cant think anyon spare room top head,59,14,1,0
757,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",faith make thing possibl hope make thing work love make thing beauti may three christma merri christma,133,26,1,0
758,U should have made an appointment,u made appoint,33,6,1,0
759,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",call youcarlo isar phone s vibrat act might hear text,95,20,1,0
760,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",romant pari 2 night 2 flight book 4 next year call 08704439680t cs appli,96,22,3,1
761,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",grandma oh dear u still ill felt shit morn think hungov anoth night leav sat,135,34,5,0
762,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,urgent ur guarante award still unclaim call 09066368327 closingdate040902 claimcod m39m51,161,16,2,1
763,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,noth ju tot u would ask co u ba gua went mt faber yest yest ju went alreadi mah today go ju call lor,151,36,2,0
764,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",wish famili merri x ma happi new year advanc,75,17,1,0
765,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,ur award citi break could win summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16,151,27,4,1
766,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",m nt goin got somethin unless meetin 4 dinner lor haha wonder go ti time,103,26,1,0
769,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,lol know re dramat school alreadi close tomorrow appar ca nt drive inch snow suppos get,137,30,4,0
770,Not getting anywhere with this damn job hunting over here!,get anywher damn job hunt,58,11,1,0
771,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,lol u drunkard hair moment yeah still 4 tonight wat plan,89,23,5,0
772,"idc get over here, you are not weaseling your way out of this shit twice in a row",idc get weasel way shit twice row,81,19,1,0
773,I wil be there with in  &lt;#&gt;  minutes. Got any space,wil lt gt minut got space,57,18,2,0
775,Thanks for picking up the trash.,thank pick trash,32,7,1,0
776,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,nt go tell friend re sure want live smoke much spend hour beg come smoke,145,31,1,0
777,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",hi kate love see tonight ill phone tomorrow got sing guy gave card xxx,122,31,3,0
778,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,happi new year dear brother realli miss got number decid send text wish happi abiola,143,30,4,0
779,That means get the door,mean get door,23,5,1,0
781,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",hmmm thought said 2 hour slave 3 late punish,94,23,2,0
782,Beerage?,beerag,8,2,1,0
783,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,import custom servic announc premier call freephon 0800 542 0578,99,17,2,1
784,Dont think so. It turns off like randomlly within 5min of opening,dont think turn like randomlli within 5min open,65,13,2,0
785,"She was supposed to be but couldn't make it, she's still in town though",suppos could nt make s still town though,71,17,1,0
786,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,time fix spell sometim get complet diff word go figur,117,27,4,0
787,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),ever thought live good life perfect partner txt back name age join mobil commun 100psm,129,27,3,1
788,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",5 free top polyphon tone call 087018728737 nation rate get toppoli tune sent everi week text subpoli 81618 per pole unsub 08718727870,158,32,3,1
790,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,hope enjoy game yesterday sorri ve touch pl know fondli bein thot great week abiola,150,33,4,0
791,All e best 4 ur driving tmr :-),e best 4 ur drive tmr,31,10,1,0
792,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,u dogbreath sound like jan c thatåõ al,72,24,3,0
793,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,omg want scream weigh lost weight woohoo,70,17,3,0
794,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,gener nt one s uncount noun u dictionari piec research,94,21,3,0
795,it's really getting me down just hanging around.,s realli get hang around,48,10,1,0
796,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",orang custom may claim free camera phone upgrad loyalti call 0207 153 9996 offer end 14thmarch c s appli optout availa,160,35,5,1
797,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",petey boy wherear friendsar thekingshead come canlov nic,98,19,1,0
798,Ok i msg u b4 i leave my house.,ok msg u b4 leav hous,31,10,1,0
799,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",gim few lt gt minut ago,43,17,1,0
800,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",last chanc claim ur worth discount voucher today text shop 85023 savamob offer mobil cs savamob pobox84 m263uz sub 16,154,34,7,1
801,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,appt lt time gt fault u nt listen told u twice,71,24,3,0
802,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,free 1st week no1 nokia tone 4 ur mobil everi week txt nokia 8077 get txting tell ur mate wwwgetzedcouk pobox 36504 w45wq 16 norm150pton,162,31,3,1
803,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,guarante award even cashto claim ur award call free 08000407165 18 2 stop getstop 88222 php rg21 4jx,143,30,2,1
804,K I'll be there before 4.,k ll 4,25,8,1,0
805,I dled 3d its very imp,dled 3d imp,22,6,1,0
806,"sure, but make sure he knows we ain't smokin yet",sure make sure know ai nt smokin yet,48,12,1,0
807,Boooo you always work. Just quit.,boooo alway work quit,33,8,2,0
808,I am taking half day leave bec i am not well,take half day leav bec well,44,11,1,0
809,Ugh I don't wanna get out of bed. It's so warm.,ugh nt wan na get bed s warm,47,16,2,0
810,S:)s.nervous  &lt;#&gt; :),snervou lt gt,26,13,1,0
811,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,s ring come guy costum s gift futur yowif hint hint,112,25,3,0
812,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,150,23,1,1
813,I borrow ur bag ok.,borrow ur bag ok,19,6,1,0
814,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",u outbid simonwatson5120 shinco dvd plyr 2 bid visit sm acsmsreward 2 end bid notif repli end,133,27,3,1
815,Where's my boytoy? I miss you ... What happened?,s boytoy miss happen,48,12,2,0
816,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",lot use one babe model nt help youi bring ll match,107,27,2,0
817,Also are you bringing galileo or dobby,also bring galileo dobbi,38,7,1,0
818,Then why you not responding,respond,27,5,1,0
819,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",boo babe u enjoyin yourjob u seem 2 b gettin well hunni hope ure ok take care iåõllspeak 2u soonlot lovem xxxx,129,31,3,0
820,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,good afternoon starshin s boytoy crave yet ach fuck sip cappuccino miss babe teas kiss,131,32,5,0
821,On the road so cant txt,road cant txt,23,6,1,0
822,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",smsservic yourinclus text credit pl goto wwwcomuknet login 3qxj9 unsubscrib stop extra charg help 08702840625comuk 220cm2 9ae,156,25,4,1
823,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,25p 4 alfi moon s children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti,161,36,3,1
825,Hmm .. Bits and pieces lol ... *sighs* ...,hmm bit piec lol sigh,42,11,2,0
826,Hahaha..use your brain dear,hahaha use brain dear,27,6,1,0
827,Hey. You got any mail?,hey got mail,22,7,2,0
828,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",sorri light turn green meant anoth friend want lt gt worth may around,98,24,1,0
829,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,thank yesterday sir wonder hope enjoy burial mojibiola,89,17,4,0
830,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret admir reveal think u r special call 09065174042 opt repli reveal stop 150 per msg recd cust care 07821230901,147,32,6,1
831,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,hi mate rv u hav nice hol messag 3 say hello coz havenåõt sent u 1 age start drive stay road rvx,130,31,1,0
832,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",dear voucher holder claim week offer pc pleas go http wwwetlpcoukexpressoff ts cs appli stop text txt stop 80062,152,32,2,1
833,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",thank much skype wit kz sura didnt get pleasur compani hope good ve given ultimatum oh countin aburo enjoy messag sent day ago,215,51,7,0
834,Surely result will offer:),sure result offer,26,6,1,0
835,Good Morning my Dear........... Have a great &amp; successful day.,good morn dear great amp success day,66,14,1,0
836,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,want 750 anytim network min 150 text new video phone five pound per week call 08002888812 repli deliveri tomorrow,149,28,1,1
837,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",sir late pay rent past month pay lt gt charg felt would inconsider nag someth give great cost s didnt speak howev recess wont abl pay charg month henc askin well ahead month s end pleas help thank,372,89,5,0
838,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,tri contact offer new video phone 750 anytim network min half price rental camcord call 08000930705 repli deliveri wed,155,28,1,1
839,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,last chanc 2 claim ur worth discount voucherstext ye 85023 savamobmemb offer mobil cs 08717898035 sub 16 remov txt x stop,162,31,3,1
840,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,luv u soo much u donåõt understand special u r 2 ring u 2morrow luv u xxx,82,20,1,0
841,"Pls send me a comprehensive mail about who i'm paying, when and how much.",pl send comprehens mail m pay much,73,17,1,0
842,Our Prashanthettan's mother passed away last night. pray for her and family.,prashanthettan s mother pass away last night pray famili,76,15,2,0
843,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",urgent call 09066350750 landlin complimentari 4 ibiza holiday 10000 cash await collect sae cs po box 434 sk3 8wp 150 ppm 18,153,31,3,1
844,K.k:)when are you going?,kk go,24,8,1,0
845,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,meanwhil shit suit xavier decid give us lt gt second warn samantha come play jay s guitar impress shit also nt think doug realiz nt live anymor,231,52,2,0
846,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,stomach thru much trauma swear ca nt eat better lose weight,87,21,2,0
847,I am in office:)whats the matter..msg me now.i will call you at break:).,offic what matter msg nowi call break,72,21,1,0
848,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",yeah s bare enough room two us x mani fuck shoe sorri man see later,105,25,2,0
850,U reach orchard already? U wan 2 go buy tickets first?,u reach orchard alreadi u wan 2 go buy ticket first,54,13,2,0
851,"I am real, baby! I want to bring out your inner tigress...",real babi want bring inner tigress,58,15,2,0
852,No da if you run that it activate the full version da.,da run activ full version da,54,13,1,0
853,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",ah poor babi hope urfeel bettersn luv probthat overdos work hey go care spk 2 u sn lot lovejen xxx,118,26,2,0
854,Stop the story. I've told him i've returned it and he's saying i should not re order it.,stop stori ve told ve return s say order,88,23,2,0
855,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,talk sexi make new friend fall love world discreet text date servic text vip 83110 see could meet,144,32,3,1
856,Going to take your babe out ?,go take babe,29,7,1,0
857,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home,136,35,3,0
858,Spoons it is then okay?,spoon okay,23,6,1,0
859,Did he just say somebody is named tampa,say somebodi name tampa,39,8,1,0
860,In work now. Going have in few min.,work go min,35,10,2,0
861,Your brother is a genius,brother geniu,24,5,1,0
862,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",sorri guess whenev get hold connect mayb hour two ll text,95,24,2,0
863,Did u find out what time the bus is at coz i need to sort some stuff out.,u find time bu coz need sort stuff,73,19,1,0
864,Dude ive been seeing a lotta corvettes lately,dude ive see lotta corvett late,45,8,1,0
865,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,congratul ur award either yr suppli cd virgin record mysteri gift guarante call 09061104283 ts cs wwwsmsconet approx 3min,161,26,1,1
866,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",consid wall bunker shit import never play peac guess place high enough nt matter,159,32,1,0
867,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,privat 2003 account statement 07808 xxxxxx show 800 unredeem s i m point call 08719899217 identifi code 41685 expir 071104,149,25,3,1
868,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,hello need posh bird chap user trial prod champney put need address dob asap ta r,134,32,5,1
869,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,u want xma 100 free text messag new video phone half price line rental call free 0800 0721072 find,154,35,3,1
870,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",well offici philosoph hole u wan na call home readi save,92,22,1,0
871,Its going good...no problem..but still need little experience to understand american customer voice...,go good problem still need littl experi understand american custom voic,102,18,1,0
872,I'll text you when I drop x off,ll text drop x,31,9,1,0
873,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,ugh long day m exhaust want cuddl take nap,77,20,3,0
874,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,talk atleast day otherwis miss best friend world shakespear shesil lt gt,139,35,3,0
875,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",shop till u drop either 10k 5k cash travel voucher call 09064011000 ntt po box cr01327bt fixedlin cost 150ppm mobil vari,158,35,2,1
876,Are you in castor? You need to see something,castor need see someth,44,10,2,0
877,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr 82277 sp tyron,137,30,3,1
878,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,u secret admir look 2 make contact ufind r reveal think ur specialcal 09058094565,132,26,1,1
879,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,u secret admir look 2 make contact ufind r reveal think ur specialcal 09065171142stopsms08,143,26,1,1
880,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,remind download content alreadi paid goto http doit mymobi tv collect content,127,27,4,1
881,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",see knew give break time woul lead alway want miss curfew gon na gibe til one midnight movi gon na get til 2 need come home need getsleep anyth need b studdi ear train,276,67,4,0
882,I love to give massages. I use lots of baby oil... What is your fave position?,love give massag use lot babi oil fave posit,78,19,2,0
883,Dude we should go sup again,dude go sup,27,6,1,0
884,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,yoyyooo u know chang permiss drive mac usb flash drive,79,17,2,0
885,Gibbs unsold.mike hussey,gibb unsoldmik hussey,24,3,1,0
886,I like to talk pa but am not able to. I dont know y.,like talk pa abl dont know,52,16,2,0
887,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,dun cut short leh u dun like ah fail s quit sad,68,20,4,0
888,You unbelievable faglord,unbeliev faglord,24,3,1,0
889,Wife.how she knew the time of murder exactly,wifehow knew time murder exactli,44,8,1,0
890,Why do you ask princess?,ask princess,24,6,1,0
891,I am great princess! What are you thinking about me? :),great princess think,55,14,3,0
892,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,nutter cutter ctter cttergg cttargg ctargg ctagg ie,62,16,8,0
893,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,s ok noe u re busi m realli bore msg u oso dunno wat colour choos 4 one,104,29,1,0
894,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,nt g class earli tomorrow thu nt tri smoke lt gt,87,23,1,0
895,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",superb thought be grate u dont everyth u want mean u still opportun happier tomorrow u today,150,32,2,0
896,Hope you are having a good week. Just checking in,hope good week check,49,11,2,0
897,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",m use hope agent nt drop sinc ve book thing year whole boston nyc experi,154,39,3,0
898,"Thursday night? Yeah, sure thing, we'll work it out then",thursday night yeah sure thing ll work,56,14,2,0
900,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,probabl money worri thing come due sever outstand invoic work two three month ago,126,24,2,0
901,How is it possible to teach you. And where.,possibl teach,43,11,2,0
902,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",wonder phone batteri went dead tell love babe,77,19,2,0
903,Lovely smell on this bus and it ain't tobacco... ,love smell bu ai nt tobacco,49,11,1,0
904,"We're all getting worried over here, derek and taylor have already assumed the worst",re get worri derek taylor alreadi assum worst,84,16,1,0
905,Hey what's up charles sorry about the late reply.,hey s charl sorri late repli,49,11,1,0
906,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap 82468,162,32,3,1
907,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,ill give plu said grinul greet whenev speak,79,17,2,0
908,WHITE FUDGE OREOS ARE IN STORES,white fudg oreo store,31,6,1,0
909,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",januari male sale hot gay chat cheaper call 08709222922 nation rate 15pmin cheap 78pmin peak stop text call 08712460324 10pmin,155,30,4,1
910,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,love come took long leav zaher s got word ym happi see sad left miss,146,38,4,0
911,I am sorry it hurt you.,sorri hurt,23,7,1,0
912,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ca nt feel nauseou m piss nt eat sweet week caus today plan pig diet week m hungri,160,43,6,0
913,Ok lor but not too early. Me still having project meeting now.,ok lor earli still project meet,62,14,2,0
914,"Call me da, i am waiting for your call.",call da wait call,39,11,1,0
915,I could ask carlos if we could get more if anybody else can chip in,could ask carlo could get anybodi els chip,67,15,1,0
916,Was actually about to send you a reminder today. Have a wonderful weekend,actual send remind today wonder weekend,73,14,2,0
917,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",peopl see msg think iam addict msging wrong bcoz dont know iam addict sweet friend bslvyl,148,32,3,0
918,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,hey gave photo regist drive ah tmr wan na meet yck,88,20,2,0
