clean_mail,num_characters,num_sentences,target
got ta,30,1,0
ve got ten buck jay noncomitt,44,1,0
hungri,24,1,0
pl speak custom machan,34,1,0
somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream,144,1,0
dear u ve invit xchat final attempt contact u txt chat 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yr,143,3,1
wat ur opinion abt abt charact,52,1,0
jay snicker tell x total fuck chord speak,82,1,0
hour beforew hair cut,39,1,0
wonder co dun rem see silver car thk saw black one,80,2,0
lmao take pic send,35,2,0
speak feel word better silenc gud mrng,82,1,0
s current scotland,41,2,0
work week,27,1,0
congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc wwwldewcom 1 win150ppmx3age16,152,1,1
lol great im get hungri,32,1,0
ye saw messag,33,1,0
ll mu like lt gt second,41,1,0
thing r good thanx got exam march ive done revis fran still boyf ive got ta interviw 4 exet bit worri x,126,3,0
tell make littl spreadsheet track whose idea smoke determin smoke much entir month februari,153,1,0
sale arsen dartboard good condit doubl trebl,71,2,1
nt look back build coat nt want get sick hurri home wear coat gym,141,3,0
pain person thought i alway tri keep everybodi happi time nobodi recognis alon,124,2,0
thank love wish rock,38,2,0
intrepid duo great time see soon,63,2,0
ask sen come chennai search job,47,1,0
dad went oredi,22,1,0
ju hope true missin co m realli missin nt done anyth feel guilti yet,115,2,0
wat late still earli mah juz go 4 dinner lor aiya dunno,71,3,0
arm fine s cardiff uni,34,1,0
fact leav think addi goe back school tue wed,72,2,0
cool breez bright sun fresh flower twitter bird wait wish u goodmorn amp nice day,134,2,0
ya go restaur,26,1,0
ok askd u knw tht,38,1,0
free 1st week entri 2 textpod 4 chanc 2 win 40gb ipod cash everi wk txt pod 84128 ts cs wwwtextpodnet custcar 08712405020,141,2,1
duck chinchilla,25,1,0
marriag function,27,1,0
look like u wil b get headstart im leav bout 230ish u r desper compani could head earlierw goin meet rummer,159,1,0
give fli monkey wot think certainli mind friend mine,107,2,0
regist optin subscrib ur draw 4 gift voucher enter receipt correct an 80062 what no1 bbc chart,142,1,1
say thanks2,13,1,0
msg rajini come,25,1,0
ya ì take ure practic lesson start june,65,3,0
s good need drug,33,1,0
stupidit possibl,23,1,0
ì decid faster co si go home liao,53,1,0
summer final fanci chat flirt sexi singl yr area get match repli summer free 2 join optout txt stop help08714742804,159,5,1
u sleep go take haha got spi wat onlin check n repli mail lor,104,3,0
clair havin borin time alon u wan na cum 2nite chat 09099725823 hope 2 c u luv clair xx,154,2,1
bought one rington get text cost 3 pound offer tone etc,81,1,1
yalru lyfu astn chikku bt innu mundh lyf ali halla ke bilo marriag program edha lyf nt yet ovr chikku ali vargu lyfu meow meow d,144,1,0
kinda first one get twelv aah speak tomo,51,4,0
09066362231 urgent mobil 07xxxxxxxxx bonu caller prize 020603 2nd attempt reach call 09066362231 asap,153,4,1
ok good later come find ì c lucki told ì go earlier later pple take finish ì,114,1,0
wat make u thk ll fall actual thk m quit prone 2 fall lucki dad home ask come n fetch alreadi,131,3,0
07801543489 guarante latest nokia phone 40gb ipod mp3 player prize txt word collect no83355 tcllc nyusa 150pmt msgrcvd18,159,3,1
wont touch permiss,42,1,0
hi luci hubbi meetin day fri b alon hotel u fanci cumin pl leav msg 2day 09099726395 luci x,161,2,1
7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st ur love friendship good morn dear,153,1,0
take small dose tablet fever,37,1,0
oh u must taken real valentin shop first,61,2,0
sent email address incomm right,74,1,0
gon na blake s night might abl get littl earli,93,2,0
friendship game play word say doesnt start march end may tomorrow yesterday today e,141,1,0
nice wait text right m gon na pay ticket ya know,85,3,0
m watch lotr w si di aft u wan 2 meet 4 dinner nite,78,2,0
keep away like,33,1,0
think far find check googl map place dorm,90,2,0
trip ok quit tire lor uni start today s ok 4 co m take modul ju concentr final yr project,147,2,0
alway say welp,33,1,0
m guy browsin compulsori,32,1,0
puriti friendship two smile read forward messag smile see name gud evng musthu,149,2,0
add nt realli care ca nt least get dude fuck hey money want,132,1,0
hello lover goe new job happi think wake slave send teas kiss across sea,154,6,0
told number gautham,31,1,0
tell need investig anywher,51,1,0
ok juz receiv,18,1,0
cant believ said mani thing morn realli want say good morn love beauti morn see librari later,172,3,0
account credit 500 free text messag activ txt word credit 80488 cs www80488biz,130,2,1
end might still vomit okay everyth come,76,2,0
money money aint thing sha,78,1,0
everyth weather keep extra warm cold noth seriou pl lot vitamin c,112,4,0
hey gal anyon u go e drive centr tmr,58,2,0
m alway yahoo messeng send messag ill get may send mobil mode sha ill get repli,158,3,0
m put readi lt time gt,60,2,0
time n smile r two crucial thing life sometim time make us forget smile sometim someon s smile make us forget time gud noon,154,2,0
sm ac jsco energi high u may know 2channel 2day ur leadership skill r strong psychic repli an wquestion end repli end jsco,154,7,1
hostbas idp linux system,34,1,0
hot live fantasi call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 nation rate call,122,1,1
da what plan,26,1,0
ill lt gt ok,31,1,0
oh god m almost home,26,2,0
total video convert free download type googl search,64,1,0
thank vote sing along star karaok mobil free link repli sing,121,3,1
sound like someth someon test would sayi,56,1,0
u love someon dont make love u much u love much dont want love anyon except gud nit,148,2,0
pete phone still jenni colleg leannewhat,90,3,0
oop sorri check nt mind pick tomo half eight station would ok,110,3,0
hey sweet wonder moment might come want send file someon wo nt go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey teas kiss,458,6,0
how champ leav glasgow,36,1,0
k best congrat,28,1,0
wonder ll get text,33,1,0
need come home give good lovin,51,1,0
brand new mobil music servic live free music player arriv shortli instal phone brows content top artist,157,3,1
shall ask one thing dont mistak,45,1,0
check wid corect spele ie sarcasm,37,2,0
urgent mobil award bonu caller prize 10803 2nd attempt contact call 08714719523 box95qu bt nation rate,159,4,1
angri happen dear,39,2,0
thk u dun haf 2 hint e forum alreadi lor co told ron n darren go 2 tell shuhui,96,1,0
yup ok thanx,15,1,0
hi ct employe,29,1,0
pl pl find aunt nike,32,1,0
wow love sooo much know bare stand wonder day goe well love think miss,152,5,0
scream mean shout,29,1,0
hey happen de alright,36,2,0
pick receipt someth earlier,54,1,0
think chennai well settl,29,1,0
oh dang nt mean send lol,47,3,0
unfortun ve found pick sister airport even nt think ll go tri go one th,172,2,0
horribl bf v hungri,32,2,0
rememb day,22,1,0
nokia 7250i get win free auction take part send nokia 86021 hgsuite3422land roww1jhl 16,150,4,1
s feel mr real valentin yo valentin even tho u hardli play,91,4,0
sound good finger make difficult type,53,3,0
midnight earliest,24,1,0
re sure m tri make xavier smoke nt want smoke told smoke much,121,1,0
k come nordstrom re done,36,1,0
u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream,212,1,0
press confer da,25,1,0
hello orang 1 month s free access game news sport plu 10 free text 20 photo messag repli ye term appli wwworangecoukow,156,3,1
complet degre use join financ,59,2,0
good afternoon love job prospect miss lazi bleak hmmm happi fill love,155,6,0
shant disturb u anymor jia,37,1,0
bishan lar nearer need buy earli co buy got ta park car,79,1,0
dont know oh,24,1,0
dude sux snake got old raiden got buff,50,2,0
say hi get ass back south tampa prefer kegger,75,1,0
e msg ju u said thank gift,41,2,0
u,8,1,0
ok dear call chechi,36,2,0
yeah tote u wan na,31,2,0
ok found di pierr cardin one look normal cost 20 sale,73,1,0
good sleep rhythm person establish rhythm bodi learn use want know,127,3,0
wat r u,14,1,0
messag truro hospit ext phone phone side,97,4,0
singl line big mean miss anyth 4 ur best life,73,1,0
got ga money chanc gang want go grand natur adventur,92,1,0
dnt worri use ice piec cloth packalso take 2 tablet,63,1,0
dude saw park car sunroof pop sux,58,2,0
get readi put excel sub face,46,1,0
tmrw im finish 9 door,26,2,0
lt gt g saw day ago guy want sell wifi lt gt 3g lt gt s blank,143,2,0
late,29,2,0
whatev im pretti piss,31,1,0
dont much imag class,37,1,0
got rumour go buy apart chennai,63,1,0
near kalainar tv officethenampet,33,1,0
ur cashbal current 500 pound maxim ur cashin send go 86688 150pmsg cc 08718720201 hgsuite3422land roww1j6hl,145,2,1
sm auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021 hgsuite3422land roww1j6hl,149,4,1
si catch e show e afternoon m watch w c u wan 2 watch today tmr lor,104,2,0
sound gd haha wah u yan jiu fast liao,58,1,0
nosi guess idk react m freak,62,3,0
rememb hurt day satan impost mene pay price itmay destini keep go u said pray get mind get,184,1,0
make girl happi s difficult make girl happi u need 1 friend 2 companion 3 lover 4 chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam,611,38,0
princess bet brotha chase,61,2,0
shall book chez jule half eight s ok,62,1,0
hhahhaahahah rofl wtf nig leonardo room someth,64,1,0
yep derek s hous see sunday lt 3,47,1,0
s cool let know kick around lt gt ll day,92,1,0
wonder would okay call uncl john let know thing nigeria r lt gt dollar 2year sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,338,4,0
charg transfer charg withdraw anyhow like,86,1,0
dont search love let love find u that call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,159,1,0
4 let s go bill miller,30,2,0
love set soul fire spark flame big rawr flame xoxo,105,6,0
somewhr someon sure made 4 u god decid perfect time make u meet dat person till den enjoy ur crush,148,12,0
s honeymoon outfit,30,2,0
help propos go back tomorrow,52,1,0
privat 2003 account statement show 800 unredeem s i m point call 08719899230 identifi code 41685 expir 071104,136,3,1
never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,152,7,0
pl confirm time collect chequ,43,1,0
regist subscrib yr draw 4 gift voucher b enter receipt correct an next olymp txt an 80062,146,3,1
urgent mobil number award prize guarante call 09061790121 land line claim 3030 valid 12hr 150ppm,144,5,1
daddi take good care,35,1,0
yeah probabl still got ta check leo,47,1,0
kthen special,25,1,0
carlo take sweet time usual let know patti donew smoke ll tell haul ass,127,1,0
ok pa noth problem,25,2,0
heard job m go wildlif talk tonight u want2com that2worzel wizzl whatev,143,4,0
god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend 4u,128,1,0
came hostel,24,1,0
ok prob ll come lunch,43,2,0
ju tell u dat ll b leav 4 shanghai 21st instead ll haf time 2 meet cya,99,1,0
freez home yet rememb kiss mom morn love think miss yet,152,6,0
readi big day tomorrow,37,1,0
ll probabl around mu lot,32,1,0
645,3,1,0
rtking pro video club need help info ringtonekingcouk call 08701237397 must 16 club credit redeem wwwringtonekingcouk enjoy,153,3,1
thnx dude u guy 2nite,28,2,0
sef dey laugh meanwhil s darl anji,55,2,0
mm food da,28,1,0
k make sens btw carlo difficult guy gon na smoke go pick second batch get ga,121,1,0
u download fring app,29,1,0
2 oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,115,1,0
friend u stay fb chat,39,1,0
fuck babe miss sooooo much wish sleep bed lone go sleep dream love,154,4,0
live simpl love also simpl laugh simpl win tooo simpl simpl difficult gud nte,148,4,0
u secret admir look 2 make contact ufind r reveal think ur specialcal 09058094599,132,1,1
ah well confus thing,44,1,0
500 free text msg text ok 80488 ll credit account,71,2,1
hi dear call urgnt nt know what problem nt want work problem least tell wate repli,156,4,0
dear ok,25,2,0
select stay 1 250 top british hotel noth holiday worth claim call london 02072069400 bx 526 sw73ss,147,4,1
ye princess want make happi,41,2,0
sound like mani talent would like go dinner date next week,83,2,0
go film 2day da 6pm sorri da,45,3,0
watch movi alreadi xy want 2 shop m shop w,73,2,0
hello littl parti anim thought d buzz friend grin remind love send naughti ador kiss,158,2,0
yesterday go home,47,2,0
eeri nokia tone 4u rpli tone titl 8007 eg tone dracula 8007 titl ghost addamsfa munster exorcist twilight wwwgetzedcouk pobox36504w45wq 150p,161,1,1
come life brought sun shini warm heart put constant smile face make feel love care,159,2,0
shit nt surpris went spent even french guy met town fool around bit nt let fuck,165,1,0
0a network allow compani bill sm respons supplier,91,1,1
great comedi cant stop laugh da,37,1,0
freemsg feelin kinda lnli hope u like 2 keep compani jst got cam mobi wan na c pic txt repli date 82242 msg150p 2rcv hlp 08712317606 stop 82242,160,2,1
alright re set text man,41,1,0
hi re re keen go kind feel nt go tomo nt mind,136,2,0
sleep nt feel well,24,1,0
u switch fone dammit,35,2,0
india take lead,25,1,0
ill post l8r class,31,2,0
tht wat wright brother fli,36,1,0
even v good somewhat event laden fill nt worri head ok throat wreck see six,132,3,0
u laugh realli loud u talk spontan u dont care other feel u probabl dear amp best friend goodeven dear,156,3,0
laptop take,30,1,0
dont file bag work call mei ll tell find anyth room,118,1,0
wan earli lei outsid wun b home earli neva mind,82,1,0
ur chanc win cash everi wk txt action 80608 s c s wwwmovietriviatv custcar 08712405022 1x150pwk,123,2,1
bugi juz wat m walk home oredi ìï late repli oso saw top dat like din buy r ì,147,3,0
7 go ok na,22,1,0
ye post coupl pic fb s still snow outsid m wake,90,3,0
one good partnership go take lead,61,1,0
rgent 2nd attempt contact u u call 09071512433 b4 050703 csbcm4235wc1n3xx callcost 150ppm mobilesvari 50,148,5,1
yeah s class,28,1,0
send bec templ na,42,2,0
nt come home class right need work shower,75,2,0
hi ur lookin 4 sauci daytim fun wiv busti marri woman free next week chat 2 sort time 09099726429 janinexx,160,1,1
mostli like,27,1,0
ìï v fan,14,1,0
dunno co v late n reach insid alreadi ate spageddi lor s e gal r laugh lor,129,3,0
guess spent last night phase fourth dimens,73,1,0
dad gon na call get work ask crazi question,88,1,0
ye said it,27,1,0
hurt n meaning line ever i compromis everyth love,75,1,0
lmao nice 1,11,1,0
glad see repli,23,1,0
urgent tri contact u today draw show prize guarante call 09050001295 land line claim a21 valid 12hr,158,5,1
monthli password wap mobsicom 391784 use wap phone pc,73,3,1
nah dub je still buff,25,1,0
pain word i thought happi toughest thing earth,81,2,0
yeah s fine s get ok,51,2,0
lol u come idea,40,1,0
mani peopl seem special first sight remain special till last sight maintain till life end sh ja,156,2,0
okay wait ah,18,1,0
lei,6,1,0
hi babe u r like bed im sorri tonight realli wan na see u tomorrow call 9 love xxx,126,3,0
alreadi squat new way walk,46,1,0
want bold 2 bb torch,30,1,0
cramp stop go back sleep,35,2,0
today vodafon number end 0089 last four digit select receiv award number match pleas call 09063442151 claim award,174,2,1
free top rington sub weekli ringtoneget 1st week freesend subpoli 81618 3 per weekstop sms08718727870,114,1,1
nan sonathaya soladha boss,32,2,0
bring tat cd forget,23,1,0
nt know m rape dude poker,42,1,0
weightloss girl friend make load money ebay someth give thank god,99,4,0
gr8 see messag r u leav congrat dear school wat r ur plan,96,4,0
ìï eatin later m eatin wif fren lei ìï go home first,74,1,0
finish alreadi yar keep say mushi embarrass ok,72,2,0
sorri man stash ran dri last night ca nt pick sunday,76,1,0
hai priya right doctor said pa,60,2,0
free msg sorri servic order 81303 could deliv suffici credit pleas top receiv servic,148,3,1
pleas ask mummi call father,31,1,0
come room come hous co hous still messi haha,77,1,0
lost 10 kilo today,33,1,0
tast fish curri p,25,1,0
might accid tookplac somewher ghodbandar rd traffic move slove plz slip amp nt worri,126,4,0
yun ahnow ì wkg btw ì go nu sc ìï wana specialis wad,71,2,0
ye one woman man pleas tell like dislik bed,75,3,0
test earlier appreci call tomorrow,68,3,0
s loverboy keep come queen hmmm nt ach speak miss despar,144,4,0
u meet fren dun wan meet ah muz b guy rite,59,1,0
promis though nt even gotten dinner yet,60,1,0
got back dislik bed,49,2,0
turn stereo love mi phone unknown album,66,1,0
hard live 121 chat 60pmin choos girl connect live call 09094646899 cheap chat uk s biggest live servic vu bcm1896wc1n3xx,145,5,1
yeah nt see,24,1,0
ask u knw nt may ur frnd classmat,58,2,0
sorri earlier put firesar around talk 9 actual life lol,107,3,0
wow boy r back take 2007 uk tour win vip ticket prebook vip club txt club 81303 trackmarqu ltd info vipclub4u,138,6,1
missionari hook doggi hook stand,53,1,0
u better go sleep dun disturb u liao u wake msg lor,73,1,0
watch hous entertain get whole hugh lauri thing even stick inde especi stick,144,1,0
thought prap meant anoth one goodo ll look tomorrow,63,3,0
hi jon pete ive bin 2 spain recent hav sum dinero left bill said u ur åôrent mayb interest hav 12000pe around tb jame,159,1,0
bold 2 lt gt,39,2,0
know shall speak lt gt minut,67,2,0
alrit hunni wot u 2 2nite didnt end goin town ju da pub instead ju chillin da mo bedroom love jen xxx,131,3,0
went project centr,24,1,0
per request maangalyam alaipayuth set callertun caller press 9 copi friend callertun,136,2,0
lol yeah point guess,34,1,0
project w fren lor,27,1,0
lol well qualiti aint bad aint complain,55,2,0
k happen tonight,27,1,0
hi mandi sullivan call hotmix fm chosen receiv easter prize draw pleas telephon 09041940223 claim 290305 prize transfer someon els,224,1,1
think re go finn s come,39,1,0
tire special,36,1,0
come tomorrow di,23,1,0
k go sleep well take rest,34,2,0
u guy never invit anywher,34,1,0
ur go 2 bahama callfreefon 08081560665 speak live oper claim either bahama cruis cash 18onli opt txt x 07786200117,159,3,1
want pleas insid outsid bedroom,74,2,0
ey calm downon theacus itxt u co iwana know wotu r doin thewend haventcn u age ring ur up4 neth satlov j xxx,146,2,0
love wine dine ladi,32,1,0
someon conact date servic enter phone fanci find call landlin 09111030116 pobox12n146tf15,155,2,1
iåõm cool ta luv vtire 2 caus doin load plan wk got social servic inspect nurseri take care spk sn x,160,2,0
know account detail ask mom send youmi mom reach,86,1,0
think u wrong number,32,1,0
feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,166,4,0
b late love mum,22,1,0
got mail panren paru,26,1,0
think chuckin ur red green n black trainner 2 save carryin bac train,92,1,0
give one miss number pleas,37,1,0
ju came back fr lunch wif si u leh,46,2,0
schedul next week town weekend,62,2,0
realli good dhanush rock,39,1,0
lmao ok wont need u hair anymor,50,1,0
miss ya need ya want ya love ya,35,1,0
sorri m free,21,1,0
u ever get song stuck head reason wo nt go away til u listen like 5 time,107,1,0
nt yet chikku simpl habba hw abt u,38,1,0
got ur mail dileepthank muchand look forward lot support less contact rememb one venugop mentionedtomorrow late shall tri come till theregoodnight dear,205,1,0
sometim heart remembr someon much forget someon soon bcoz heart like everyon like one rememb everytim bslvyl,158,2,0
joy s father john john name joy s father mandan,67,3,0
hi 07734396839 ibh custom loyalti offer new nokia6600 mobil txtauction txt word start no81151 get 4t,143,1,1
hi yiju s regard 3230 textbook s intro algorithm second edit m sell 50,121,3,0
sm auction nokia 7250i get win free auction take part send nokia 86021 hgsuite3422land roww1jhl 16,162,4,1
k want us come,26,1,0
littl difficult simpl way enter place,68,2,0
ha us e thing got tv 2 watch u thk 2 go tonight u alreadi haf smth mind,123,4,0
dont show far put new pictur facebook,61,3,0
watch tv got new job,33,2,0
good afternoon sexi bun goe job search wake first thought alway love wish fine happi know ador,156,4,0
m come whatev want,41,1,0
ok chikku 1 favourit song,50,1,0
u see post facebook,41,1,0
call freephon 0800 542 0578,33,1,1
buy space invad 4 chanc 2 win orig arcad game consol press 0 game arcad std wap charg see o2coukgam 4 term set purchas,154,3,1
big brother alert comput select u 10k cash 150 voucher call 09064018838 ntt po box cro1327 18 bt landlin cost 150ppm mobil vari,154,4,1
oh well c u later,22,1,0
uncl atlanta wish guy great semest,53,2,0
dear free messag without recharg hi hi hi,62,2,0
dun believ u thk u told,34,1,0
know god creat gap finger one made come amp fill gap hold hand love,151,2,0
ye sura sun tv lol,26,2,0
arun u transfr amt,27,1,0
takin shower yeah ll leav m done,52,1,0
work eye philosophi text u later bit free chat,100,1,0
u havenåõt lost ill alway b 4ui didnåõt intend 2 hurt u never knew u felt iwasmarin thatåõ itried2tel urmomi careabout u,164,1,0
win winner mr t foley ipod excit prize soon keep eye ur mobil visit wwwwin82050couk,132,3,1
bad girl still rememb,39,2,0
much gave morn,32,2,0
hope alright babe worri might felt bit despar learn job fake wait come back love,158,3,0
hey tell blake s address carlo want meet got lost s answer phone,120,2,0
get opinion someth first,42,1,0
one week leav put know time,46,2,0
hit move,44,1,0
excel spent lt gt year air forc iraq afghanistan stabl honest like travel,123,5,0
wan na watch movi,24,1,0
ok lor thanx ìï school,29,1,0
m class get text,34,2,0
bu leav lt gt,29,1,0
god blessget good sleep dear pray,47,1,0
today voda number end 1225 select receiv match pleas call 08712300220 quot claim code 3100 standard rate app,156,2,1
nice day today love dearli,47,2,0
aiyo bit pai seh ì noe scare dun rem die hee becom better lookin oredi leh,115,2,0
aight ll ask roommat,37,1,0
what hous beer,64,2,0
ì wan 2 meet n combin part s da rest da project go,83,2,0
get ticket 4 walsal tue 6 th march mate get sat ill pay treat want 2 go txt bak terri,124,5,0
ye chat,24,1,0
hi jess dont know work call u im home eve xxx,89,2,0
sian aft meet supervisor got work 2 liao u work,67,1,0
go write ccna exam week,44,2,0
well watch shrek 3d b,33,2,0
much dirti fellow,28,1,0
dunno dat s wat told ok lor,37,2,0
ll probabl tomorrow even later tonight someth s go,76,1,0
could nt say die man feel sad go want know would probabl gone late night,150,1,0
re think lift one,45,1,0
u dun wan u dun like alreadi ah wat u still eat,84,2,0
sent ur email id soon,24,1,0
dude s teresa hope okay didnt hear peopl call receiv packag sinc dec lt gt thot yould like know fantast year best read plu realli realli bam first aid usml work done,332,8,0
hey gorgeou man work mobil number good one babe squishi mwah,80,4,0
hottest pic straight phone see get wet want xx text pic 89555 txt cost 150p textoper g696ga 18 xxx,151,3,1
s way stay oh,34,1,0
hello thanx take call got job start monday,65,3,0
time ur flight tmr,27,1,0
come,24,1,0
rather promin bite mark right cheek,53,1,0
septemb,28,1,0
wet right,22,1,0
s husband,23,1,0
hack chat get backdoor entri 121 chat room fraction cost repli neo69 call 09050280520 subscrib 25p pm dp bcm box 8027 ldn wc1n3xx,161,4,1
norm tomorrow finish 415 co st test need sort librari stuff point tomo got letter today access til end march better get move,191,3,0
yeah got list u joanna m feel realli anti social,75,2,0
offic na,23,1,0
are comingdown later,29,1,0
super da good replac murali,37,1,0
da good good playerwhi unsold,40,1,0
hi u want join st later meet five call u class,93,4,0
engalnd telli decid wo nt let watch mia elliot kiss damn,107,3,0
free nokia motorola upto 12mth 12price linerent 500 free xnet min 100txtmth free btooth call mobileupd8 08001950382 call 2optoutd3wv,158,2,1
dont want hear philosophi say happen,52,2,0
got job wipro get everi thing life 2 3 year,71,1,0
cant get da laptop matric card wif ì lei,54,2,0
dunno da next show aft 6 850 toa payoh got 650,51,2,0
2nd time tri 2 contact u u 750 pound prize 2 claim easi call 08718726970 10p per min btnationalr,154,4,1
made payment dont much sorri would want fedex way,98,3,0
didt play one day last year know even though good team like india,89,1,0
k girl wait recept ah,50,1,0
say slowli god love amp need clean heart bloodsend ten special peopl amp u c miracl tomorrow pl pl,163,2,0
hate turn fun shop trip annoy day everyth would look hous,135,2,0
sir wait call,32,1,0
s want come onlin,41,2,0
could work ll reach consensu next meet,58,1,0
aiyah wait lor u entertain hee,50,3,0
last thing ever want hurt nt think would d laugh embarass delet tag keep go far knew nt even fact even felt like would hurt show realli nt know messi wednesday nt bad problem time clean choos skype take pictur sleep want go nt mind thing nt make bed throw laundri top ca nt friend hous m embarass s underwear bra strewn bed pillow floor s someth els use good least make bed,790,10,0
ll let know kick,34,1,0
call ok said call,35,1,0
call number avail appoint ask connect call wahe fathima,100,2,0
ì go buy wif meet ì later,46,1,0
mmmm fuck fair know weak grin push knee s expos belli pull head nt forget know wick smile,183,4,0
today system sh get readyal well also deep well,71,1,0
mom want know,30,1,0
aight ll text m back,34,1,0
dont know support ass srt thnk think ps3 play usb,75,2,0
oh ok didnt know meant yep babi jontin,55,2,0
guarante cash prizeto claim yr prize call custom servic repres,117,1,1
would like see xxx pic hot nearli ban uk,84,1,1
pen thing beyond joke wont biro nt master ca nt ever,97,3,0
parti alex nichol,33,1,0
u secret admir look 2 make contact ufind r reveal think ur specialcal 09058094594,132,1,1
see miss call dear brother gr8 day,64,2,0
ok ìï finish soon,23,1,0
sorri ca nt help,32,1,0
come slave go shell unconsci avoid make unhappi,128,3,0
love ass enjoy doggi style,45,3,0
think ask gym excus lazi peopl jog,62,2,0
dear 0776xxxxxxx u ve invit xchat final attempt contact u txt chat 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yr,155,3,1
urgent pleas call 09061743811 landlin abta complimentari 4 tenerif holiday cash await collect sae cs box 326 cw25wx 150ppm,153,3,1
way home long dri spell season would,85,3,0
got ta collect da car 6 lei,32,1,0
ok knacker came home went sleep good full time work lark,89,3,0
probabl earlier station s think,63,1,0
call 09090900040 listen extrem dirti live chat go offic right total privaci one know sic listen 60p min 247mp 0870753331018,163,1,1
freemsg hey u got 1 videop fone repli wild txt ill send u pic hurri im bore work xxx 18 150prcvd stop2stop,156,1,1
uh head nt much left,41,1,0
tot u outsid co darren say u come shop cours nice wat ju went sim lim look mp3 player,110,3,0
aight sound good want come,53,2,0
wat would u like 4 ur birthday,31,1,0
love work home,27,1,0
miss vday parachut doubl coin u must know well,79,2,0
sister got place birla soft da,40,1,0
free entri 2 weekli comp chanc win ipod txt pod 80182 get entri std txt rate c s appli 08452810073 detail 18,143,2,1
wah oki oki muz make use e unlimit haha,59,1,0
re peopl mu m tabl lambda,54,1,0
stop old man get build snowman snow angel snowbal fight,84,2,0
ello babe u ok,15,1,0
hello beauti r u ok ve kinda ad row wiv walk pub want night wiv u miss u,106,3,0
u go ikea str aft dat,30,1,0
becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer,108,1,0
lol grr mom take forev prescript pharmaci like 2 minut away ugh,92,3,0
real tho suck ca nt even cook whole electr m hungri,87,3,0
want go,16,1,0
new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod gaytextbuddycom txt one name 89693 08715500022 rpl stop 2 cnl,158,3,1
time month mid time,51,1,0
fffff text kadeem far gone,50,2,0
leav yet ok lor go elsewher n eat u thk,63,3,0
fujitsu seri lifebook good,34,1,0
yar want 2 scold u yest late alreadi got zhong se qing u ask b4 ask ll go w u lor n u still act real,160,4,0
dont know bring food,29,1,0
current food alon also,41,2,0
ll sch fr 46 dun haf da book sch s home,68,3,0
hello go villag pub 8 either come accordingli ok,91,3,0
ok,2,1,0
call like lt gt time oh give us hypertens oh,66,2,0
dont give monkey wot think certainli nt mind friend mine nt sleep wiv wud annoyin,135,3,0
omg could snow tonit,30,1,0
call 08702490080 tell u 2 call 09066358152 claim prize u 2 enter ur mobil person detail prompt care,145,3,1
free 1st week entri 2 textpod 4 chanc 2 win 40gb ipod cash everi wk txt vpod 81303 ts cs wwwtextpodnet custcar 08712405020,142,2,1
carri disturb,35,1,0
pa tell went bath,35,2,0
ju finish avatar nigro,25,1,0
r u scratch,23,1,0
hope great day,32,1,0
either idea s know anyplac someth,76,2,0
plan usual stop find hella weed,45,1,0
fact re clean show know m upset prioriti constantli what want,106,2,0
excel readi moan scream ecstasi,55,2,0
peopl dog area call 09090204448 join like mind guy arrang 1 s 1 even minapn ls278bb,160,5,1
dude avatar 3d imp one point thought actual fli room almost tri hittng one reflex,124,2,0
well done 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min,162,4,1
k k cant come search job,46,1,0
got lousi sleep kept wake everi 2 hour see cat want come worri cold,120,3,0
yeah ll leav coupl minut amp let know get mu,72,1,0
ì call 1010 make sure dat ve woken,57,1,0
hey go jazz power yoga hip hop kb yogasana,54,1,0
batteri mr adewal uncl aka egbon,49,2,0
wait 2 min stand bu stop,29,1,0
oh ic thought meant mari jane,37,2,0
haha realli oh deduct lesson tmr,67,2,0
nah im goin 2 wrk j wot bout u,41,1,0
eat shit wait ur monkey face bitch u asshol,92,1,0
good night go sleep,30,2,0
aight ll grab someth eat text re back mu,68,1,0
